Name,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Age 
Audi TT 2.0 TFSI,14262,Petrol,Automatic,1,9.9,1984,207.8,2,27350.0,7
Hyundai i10 Sportz,54500,Petrol,Manual,3,20.36,1197,78.9,5,2950.0,8
Toyota Corolla Altis G AT,52001,Petrol,Automatic,1,14.28,1798,138.03,5,10110.0,5
Mercedes-Benz CLA 200 D Sport Edition,15976,Diesel,Automatic,1,17.9,2143,136.0,5,36760.0,2
BMW X1 sDrive 20d Exclusive,54385,Diesel,Automatic,2,15.06,1995,177.0,5,17000.0,7
Volkswagen Polo Petrol Trendline 1.2L,58752,Petrol,Manual,1,16.47,1198,73.9,5,3320.0,10
Toyota Etios V,12000,Petrol,Manual,1,16.78,1496,88.73,5,4500.0,6
Volkswagen Vento Petrol Highline AT,42000,Petrol,Automatic,3,14.4,1598,103.6,5,3400.0,10
Maruti Ignis 1.2 Alpha,1000,Petrol,Manual,1,20.89,1197,81.8,5,6360.0,4
Mahindra XUV500 W4 1.99 mHawk,13363,Diesel,Manual,1,16.0,1997,140.0,7,12000.0,4
Nissan Terrano XV Premium 110 PS,85000,Diesel,Manual,1,19.01,1461,108.5,5,8500.0,8
Maruti Omni MPI STD BSIV,15473,Petrol,Manual,1,16.8,796,34.2,5,3580.0,4
Hyundai Verna CRDi SX,79663,Diesel,Manual,1,16.8,1493,110.0,5,6500.0,8
Toyota Fortuner 3.0 Diesel,242000,Diesel,Manual,1,11.5,2982,171.0,7,11000.0,11
Maruti Celerio VXI,56000,Petrol,Manual,1,23.1,998,67.04,5,2790.0,7
Maruti Alto 800 LXI,56840,Petrol,Manual,1,22.74,796,47.3,5,1550.0,8
Tata Zest Revotron 1.2T XM,39208,Petrol,Manual,1,17.57,1193,88.7,5,4520.0,6
Hyundai Verna CRDi SX ABS,150000,Diesel,Manual,1,18.1,1493,110.0,5,3000.0,13
BMW 3 Series 320d Sedan,74199,Diesel,Automatic,1,16.07,1995,181.0,5,9250.0,14
Audi Q5 2.0 TDI,56000,Diesel,Automatic,1,14.16,1968,174.3,5,35000.0,6
Maruti Ciaz VDI SHVS,17804,Diesel,Manual,2,28.09,1248,88.5,5,7970.0,3
Tata Tigor 1.2 Revotron XT,22345,Petrol,Manual,1,20.3,1199,84.0,5,4950.0,3
Mahindra NuvoSport N8,37712,Diesel,Manual,1,17.45,1493,100.0,7,7570.0,4
Volkswagen Vento Petrol Highline,65000,Petrol,Manual,2,15.04,1598,103.6,5,4500.0,8
Mercedes-Benz M-Class ML 350 4Matic,33000,Diesel,Automatic,2,0.0,2987,165.0,5,43000.0,7
Hyundai i10 Magna,43571,Petrol,Manual,1,20.36,1197,78.9,5,3550.0,6
Mahindra XUV500 W8 4WD,78000,Diesel,Manual,1,15.1,2179,140.0,7,10750.0,8
Maruti Swift Dzire VDi,88096,Diesel,Manual,2,19.3,1248,73.9,5,3500.0,12
Hyundai i10 Sportz,43002,Petrol,Manual,1,20.36,1197,78.9,5,1920.0,12
Audi Q3 35 TDI Quattro Premium Plus,86642,Diesel,Automatic,1,15.17,1968,181.0,5,20370.0,5
BMW 3 Series 320d,58000,Diesel,Automatic,1,22.69,1995,190.0,5,11500.0,11
Maruti Ritz ZXi,59451,Petrol,Manual,1,18.5,1197,85.8,5,3690.0,7
Volkswagen Vento 1.5 TDI Comfortline AT,55000,Diesel,Automatic,1,21.21,1498,103.2,5,7250.0,6
Toyota Fortuner 4x2 AT,92000,Diesel,Automatic,1,12.55,2982,168.5,7,19750.0,6
Hyundai i20 Asta,64000,Petrol,Manual,2,17.0,1197,80.0,5,4100.0,12
Renault Duster 85PS Diesel RxL Option,65178,Diesel,Manual,1,19.87,1461,83.8,5,6790.0,6
Honda City V MT,30000,Petrol,Manual,2,16.8,1497,116.3,5,6000.0,7
Hyundai Grand i10 Sportz,43698,Petrol,Manual,1,18.9,1197,82.0,5,5800.0,3
Mahindra XUV500 AT W10 AWD,82739,Diesel,Automatic,1,16.0,2179,140.0,7,16770.0,3
Toyota Innova 2.5 G4 Diesel 8-seater,83165,Diesel,Manual,1,12.8,2494,102.0,8,11490.0,8
Hyundai Verna 1.6 SX VTVT (O) AT,54957,Petrol,Automatic,1,17.1,1591,121.4,5,5370.0,9
Toyota Etios G Safety,36000,Petrol,Manual,1,17.6,1496,88.7,5,3200.0,10
Maruti Baleno RS 1.0 Petrol,46663,Petrol,Manual,1,21.1,998,100.0,5,6950.0,4
Skoda Octavia L and K 1.9 TDI MT,121000,Diesel,Manual,2,16.4,1896,90.0,5,2500.0,15
Mahindra XUV500 W10 AWD,87900,Diesel,Manual,1,16.0,2179,140.0,7,12010.0,6
Ford Ecosport 1.5 DV5 MT Titanium Optional,57000,Diesel,Manual,1,22.7,1498,89.84,5,5500.0,8
Mahindra Bolero DI BSII,82453,Diesel,Manual,1,13.6,2523,63.0,8,2900.0,15
Volkswagen Polo Petrol Comfortline 1.2L,59000,Petrol,Manual,2,16.47,1198,73.9,5,4900.0,6
Hyundai Verna 1.6 SX CRDi (O),70707,Diesel,Manual,1,22.32,1582,126.32,5,4280.0,9
Hyundai Verna VTVT 1.6 SX,5000,Petrol,Manual,1,17.0,1591,121.3,5,8700.0,3
Honda City i DTEC SV,64465,Diesel,Manual,1,26.0,1498,98.6,5,6220.0,6
Hyundai i20 2015-2017 Asta,66000,Petrol,Manual,2,17.0,1197,80.0,5,2700.0,12
Honda Amaze S i-Vtech,53497,Petrol,Manual,1,18.0,1198,86.7,5,5450.0,6
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,42000,Diesel,Automatic,1,15.73,1968,174.33,5,23500.0,5
Hyundai Sonata Transform 2.4 GDi MT,12000,Petrol,Manual,1,13.44,2359,198.25,5,12750.0,7
Volkswagen Vento Diesel Highline,83000,Diesel,Manual,2,20.54,1598,103.6,5,2900.0,10
Maruti Wagon R VXI BS IV,36411,Petrol,Manual,1,18.9,998,67.1,5,3080.0,10
Maruti Ritz VDi,110471,Diesel,Manual,1,21.1,1248,73.9,5,3500.0,11
Renault KWID RXT,24000,Petrol,Manual,1,25.17,799,53.3,5,3500.0,4
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,55000,Diesel,Automatic,1,12.0,2987,224.0,7,52000.0,6
Ford Endeavour 2.2 Trend AT 4X2,11209,Diesel,Automatic,1,12.62,2198,158.0,7,31150.0,2
Honda Brio VX AT,36631,Petrol,Automatic,1,16.5,1198,86.8,5,4300.0,7
Maruti Ertiga VXI,42000,Petrol,Manual,2,16.02,1373,93.7,7,5940.0,7
Hyundai Santa Fe 2WD AT,110000,Diesel,Automatic,1,13.01,2199,194.3,7,12900.0,7
Maruti Ciaz 1.4 Delta,6006,Petrol,Manual,1,20.73,1373,91.1,5,8250.0,4
Mahindra Ssangyong Rexton RX7,72000,Diesel,Automatic,2,11.18,2696,184.0,7,12500.0,8
Volkswagen Ameo 1.2 MPI Comfortline,55000,Petrol,Manual,1,17.0,1198,73.75,5,4700.0,4
Hyundai Creta 1.6 CRDi SX,30519,Diesel,Manual,1,19.67,1582,126.2,5,12810.0,4
BMW X6 xDrive30d,59000,Diesel,Automatic,1,11.2,2993,241.0,4,21900.0,10
Volkswagen Polo 1.2 MPI Highline,46354,Petrol,Manual,2,16.47,1198,74.0,5,5490.0,6
Maruti Ritz LXI,80264,Petrol,Manual,1,21.1,1197,85.8,5,4300.0,8
Hyundai Verna CRDi,200000,Diesel,Manual,2,16.8,1493,110.0,5,1850.0,15
BMW X5 xDrive 30d,17738,Diesel,Automatic,1,15.3,2993,258.0,5,54450.0,5
Toyota Innova 2.5 GX (Diesel) 7 Seater,147000,Diesel,Manual,1,12.99,2494,100.6,7,7500.0,12
Audi A3 35 TDI Premium,20003,Diesel,Automatic,1,20.38,1968,143.0,5,19250.0,5
Honda Accord 2.4 Elegance M/T,80000,Petrol,Manual,1,10.2,2354,180.0,5,3990.0,11
Hyundai EON 1.0 Magna Plus Option O,30711,Petrol,Manual,1,20.3,998,68.05,5,4450.0,4
Maruti Alto 800 2016-2019 CNG LXI,24310,CNG,Manual,1,33.44,796,40.3,4,3700.0,4
Mahindra Verito 1.5 D6 BSIV,118683,Diesel,Manual,2,21.0,1461,64.1,5,3190.0,9
Hyundai i10 Sportz AT,58000,Petrol,Automatic,1,16.95,1197,78.9,5,3500.0,9
Hyundai Grand i10 1.2 Kappa Magna,45252,Petrol,Manual,1,18.9,1197,81.86,5,2250.0,11
Renault Duster 85PS Diesel RxL Explore,30000,Diesel,Manual,1,19.87,1461,83.8,5,7750.0,6
Volkswagen Polo Petrol Comfortline 1.2L,38000,Petrol,Manual,1,16.47,1198,73.9,5,2800.0,8
Honda City 1.5 S MT,67635,Petrol,Manual,1,17.0,1497,118.0,5,5250.0,9
Mercedes-Benz B Class B200 CDI,36610,Diesel,Automatic,1,15.0,2143,107.3,5,19900.0,5
Mercedes-Benz New C-Class 200 K AT,28352,Petrol,Automatic,1,11.7,1796,178.0,5,9350.0,12
Volkswagen Polo Petrol Highline 1.2L,20000,Petrol,Manual,1,16.47,1198,73.9,5,3500.0,10
Maruti Swift VDI,68238,Diesel,Manual,1,22.9,1248,74.0,5,4800.0,9
Audi A4 New 2.0 TDI Multitronic,69000,Diesel,Automatic,2,15.2,1968,140.8,5,10250.0,9
Maruti Ritz VXI,33000,Petrol,Manual,1,21.1,1197,85.8,5,3250.0,7
Volkswagen Polo Diesel Highline 1.2L,60000,Diesel,Manual,1,22.07,1199,73.9,5,4750.0,8
Audi A7 2011-2015 Sportback,24720,Diesel,Automatic,2,0.0,2967,241.4,5,28000.0,9
Ford Ecosport 1.5 DV5 MT Titanium,44000,Diesel,Manual,1,22.7,1498,89.84,5,7350.0,6
Hyundai i10 Magna,21000,Petrol,Manual,1,20.36,1197,78.9,5,2350.0,8
Audi A6 2011-2015 2.0 TDI Premium Plus,51495,Diesel,Automatic,1,17.68,1968,174.33,5,21950.0,7
Honda City 1.5 V AT,60000,Petrol,Automatic,1,16.8,1497,118.0,5,4450.0,10
Hyundai i10 Sportz,16900,Petrol,Manual,1,20.36,1197,78.9,5,3870.0,6
Toyota Innova 2.5 G (Diesel) 8 Seater,81424,Diesel,Manual,1,12.99,2494,100.6,8,14490.0,5
Honda City i VTEC V,17000,Petrol,Manual,2,17.8,1497,117.3,5,8250.0,5
Chevrolet Aveo U-VA 1.2 LS,33000,Petrol,Manual,1,15.26,1150,74.9,5,1750.0,14
Hyundai Getz GLE,66800,Petrol,Manual,1,15.3,1341,83.0,5,2200.0,14
Ford Figo Diesel ZXI,71336,Diesel,Manual,1,20.0,1399,68.0,5,4100.0,8
Honda City 1.5 GXI,53000,Petrol,Manual,2,0.0,1493,100.0,5,1850.0,19
Hyundai Xcent 1.2 CRDi E Plus,69000,Diesel,Manual,1,25.4,1186,73.97,5,3550.0,4
Hyundai Grand i10 AT Asta,19168,Petrol,Automatic,1,18.9,1197,82.0,5,6930.0,4
Ford Figo Diesel EXI,55005,Diesel,Manual,1,20.0,1399,68.0,5,2750.0,9
Ford Endeavour XLT TDCi 4X2,155000,Diesel,Manual,1,13.1,2499,141.0,7,5500.0,14
Audi A6 35 TFSI Matrix,22000,Petrol,Automatic,1,15.26,1798,187.74,5,41500.0,3
Land Rover Freelander 2 SE,109000,Diesel,Automatic,1,12.39,2179,147.51,5,16500.0,10
Honda Amaze S i-Dtech,58000,Diesel,Manual,1,25.8,1498,98.6,5,4450.0,6
Ford Endeavour 3.2 Trend AT 4X4,51530,Diesel,Automatic,1,10.91,3198,197.2,7,30270.0,3
Hyundai Elite i20 Petrol Asta,37540,Petrol,Manual,1,18.6,1197,81.86,5,6220.0,5
Tata Zest Quadrajet 1.3 75PS XE,121900,Diesel,Manual,1,22.95,1248,74.0,5,3750.0,4
Mercedes-Benz New C-Class 220 CDI AT,22000,Diesel,Automatic,1,14.84,2143,170.0,5,14000.0,9
Mercedes-Benz New C-Class C 200 Kompressor Elegance MT,34000,Petrol,Manual,1,11.7,1796,178.0,5,10000.0,11
Hyundai i10 Magna Optional 1.1L,27089,Petrol,Manual,1,16.0,1086,66.7,5,1950.0,11
Honda Brio V MT,50000,Petrol,Manual,1,19.4,1198,86.8,5,3250.0,8
Audi Q3 35 TDI Quattro Premium Plus,51000,Diesel,Automatic,1,15.17,1968,181.0,5,27500.0,6
Mahindra XUV500 W8 2WD,95000,Diesel,Manual,1,15.1,2179,140.0,7,7210.0,9
Toyota Fortuner 4x2 Manual,117000,Diesel,Manual,1,13.0,2982,168.5,7,15500.0,7
Renault Duster 110PS Diesel RxL AMT,58151,Diesel,Automatic,1,19.6,1461,108.45,5,9600.0,4
Hyundai Verna 1.6 VTVT,73000,Petrol,Manual,1,17.01,1591,121.3,5,5500.0,9
BMW X6 xDrive30d,39626,Diesel,Automatic,1,11.2,2993,241.0,4,40660.0,7
Land Rover Range Rover 2.2L Prestige,64557,Diesel,Automatic,2,12.7,2179,187.7,5,29930.0,7
Hyundai i10 Era,60000,Petrol,Manual,1,19.81,1086,68.05,5,1990.0,13
Volvo XC60 D5,173000,Diesel,Automatic,1,13.5,2400,215.0,5,12000.0,10
Hyundai i20 Magna 1.2,21000,Petrol,Manual,1,18.6,1197,81.83,5,4900.0,6
Maruti Dzire VDI,45376,Diesel,Manual,1,28.4,1248,73.75,5,5750.0,5
Maruti Alto 800 LXI Airbag,50000,Petrol,Manual,1,22.74,796,47.3,5,2750.0,6
BMW X1 sDrive20d,66000,Diesel,Automatic,2,17.05,1995,184.0,5,11500.0,9
Land Rover Range Rover Sport 2005 2012 HSE,45000,Diesel,Automatic,1,14.7,2993,241.4,6,40000.0,11
Maruti Swift VXI BSIV,13000,Petrol,Manual,1,20.4,1197,81.8,5,4650.0,4
Mahindra XUV500 W8 2WD,86000,Diesel,Manual,1,15.1,2179,140.0,7,7850.0,7
Maruti Alto LXi BSIII,68000,Petrol,Manual,3,19.7,796,46.3,5,1200.0,13
Honda Brio S MT,30000,Petrol,Manual,2,19.4,1198,86.8,5,3200.0,7
Hyundai Xcent 1.2 Kappa S,51000,Petrol,Manual,1,19.1,1197,82.0,5,3850.0,7
Maruti Ertiga ZXI,68000,Petrol,Manual,2,16.02,1373,93.7,7,6750.0,7
Hyundai Elite i20 Diesel Asta Option,6820,Diesel,Manual,1,22.54,1396,88.76,5,7650.0,3
BMW X3 xDrive 20d Luxury Line,1400,Diesel,Automatic,1,18.56,1995,190.0,5,61250.0,3
Skoda Superb 2.8 V6 AT,13000,Petrol,Automatic,1,9.3,2771,193.1,5,3250.0,16
Maruti Ritz VXi,25000,Petrol,Manual,2,18.5,1197,85.8,5,3500.0,7
Jaguar XF 2.2 Litre Luxury,50000,Diesel,Automatic,1,16.36,2179,187.7,5,38000.0,6
Mercedes-Benz New C-Class C250 Avantgarde,60000,Petrol,Automatic,1,11.74,1796,186.0,5,16000.0,10
Hyundai i10 Magna 1.1,62000,Petrol,Manual,1,19.81,1086,68.05,5,2100.0,10
Audi Q3 2.0 TDI Quattro,45000,Diesel,Automatic,1,17.32,1968,184.0,5,15250.0,8
Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,34700,Diesel,Automatic,1,10.0,2148,170.0,5,24500.0,8
Nissan Micra Diesel XV,86999,Diesel,Manual,1,23.08,1461,63.1,5,3500.0,8
Toyota Corolla Altis 1.8 VL CVT,21000,Petrol,Automatic,1,14.28,1798,138.03,5,18000.0,4
Nissan Micra Diesel XV Premium,32048,Diesel,Manual,1,23.08,1461,63.1,5,2400.0,9
Maruti Swift LDI,14000,Diesel,Manual,1,28.4,1248,74.0,5,5250.0,6
Maruti Zen Estilo LXI BS IV,61111,Petrol,Manual,1,19.0,998,67.1,5,2600.0,10
Toyota Corolla Altis VL AT,1331,Petrol,Automatic,1,14.28,1798,138.03,5,20000.0,3
Honda City i VTEC SV,38691,Petrol,Manual,1,17.8,1497,117.3,5,7680.0,4
Toyota Fortuner 4x2 AT,87000,Diesel,Automatic,1,12.55,2982,168.5,7,15000.0,9
Maruti Ritz VDi,23598,Diesel,Manual,1,23.2,1248,73.94,5,3520.0,9
Renault Duster 110PS Diesel RxL,52600,Diesel,Manual,1,19.6,1461,108.45,5,7260.0,8
Hyundai Grand i10 1.2 Kappa Asta,43041,Petrol,Manual,1,18.9,1197,81.86,5,6010.0,5
Hyundai i10 Sportz,32776,Petrol,Manual,1,20.36,1197,78.9,5,4640.0,8
Renault Duster 110PS Diesel RxZ,67000,Diesel,Manual,1,19.01,1461,108.45,5,4750.0,8
Toyota Innova Crysta 2.8 GX AT,14165,Diesel,Automatic,1,11.36,2755,171.5,7,19640.0,2
Volkswagen Polo 1.2 MPI Highline,54000,Petrol,Manual,2,16.2,1199,74.0,5,6000.0,4
Maruti Wagon R LXI BSIII,83816,Petrol,Manual,2,14.0,1061,64.0,5,1850.0,12
Toyota Corolla Altis VL,60000,Petrol,Automatic,2,14.53,1798,138.1,5,4650.0,11
Chevrolet Beat LT,30000,Petrol,Manual,1,18.6,1199,79.4,5,1600.0,11
Honda City i-VTEC S,76752,Petrol,Manual,1,17.4,1497,117.3,5,3570.0,11
Volkswagen Ameo 1.5 TDI Highline,51000,Diesel,Manual,1,21.66,1498,108.62,5,6450.0,4
Maruti Ertiga ZDI,85423,Diesel,Manual,1,20.77,1248,88.8,7,8750.0,5
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,22033,Diesel,Manual,1,25.32,1198,77.0,6,5580.0,4
Mercedes-Benz E-Class 200 Kompressor Elegance,40000,Petrol,Automatic,1,10.5,1796,157.7,5,24000.0,7
Maruti Swift VDI,47000,Diesel,Manual,1,22.9,1248,74.0,5,3900.0,7
Honda Amaze VX i-DTEC,70602,Diesel,Manual,1,25.8,1498,98.6,5,4830.0,6
Hyundai Grand i10 1.2 Kappa Magna,50234,Petrol,Manual,1,18.9,1197,81.86,5,4770.0,3
Hyundai Verna 1.6 SX,67000,Diesel,Manual,1,22.32,1582,126.32,5,6250.0,9
Ford Figo Petrol Titanium,21400,Petrol,Manual,1,15.6,1196,70.0,5,4000.0,6
BMW 3 Series GT 320d Luxury Line,36255,Diesel,Automatic,1,19.59,1995,184.0,5,33000.0,6
Hyundai Grand i10 Sportz,13436,Petrol,Manual,2,18.9,1197,82.0,5,4700.0,5
Honda Brio S MT,38735,Petrol,Manual,1,19.4,1198,86.8,5,4920.0,5
Chevrolet Beat Diesel LS,58000,Diesel,Manual,1,25.44,936,57.6,5,2100.0,9
Chevrolet Beat LT Option,38800,Petrol,Manual,1,18.6,1199,76.8,5,2850.0,7
Audi Q5 2008-2012 2.0 TFSI Quattro,59967,Petrol,Automatic,1,9.74,1984,208.0,5,18000.0,10
Honda City 1.5 S MT,72000,Petrol,Manual,1,17.0,1497,118.0,5,5750.0,9
Honda Amaze S Petrol,32576,Petrol,Manual,1,19.5,1199,88.76,5,3150.0,8
Chevrolet Beat LT,48000,Petrol,Manual,2,18.6,1199,79.4,5,1800.0,10
Audi A6 2011-2015 2.0 TDI Premium Plus,61726,Diesel,Automatic,1,17.68,1968,174.33,5,20770.0,7
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,45000,Diesel,Automatic,1,11.3,2987,254.8,7,56000.0,6
Skoda Superb Elegance 1.8 TSI AT,57000,Petrol,Automatic,1,13.7,1798,157.75,5,7250.0,11
Honda Jazz 1.2 SV i VTEC,27628,Petrol,Manual,1,18.7,1199,88.7,5,4950.0,6
Honda Amaze S i-Vtech,52516,Petrol,Manual,1,18.0,1198,86.7,5,4650.0,6
Maruti Ignis 1.2 Delta,12076,Petrol,Manual,1,20.89,1197,81.8,5,5500.0,2
Hyundai Elite i20 Petrol Sportz,14223,Petrol,Manual,1,18.6,1197,81.86,5,7320.0,3
Maruti Swift VDI,53996,Diesel,Manual,1,22.9,1248,74.0,5,5450.0,8
Maruti Omni 5 Str STD,93850,Petrol,Manual,1,14.0,796,35.0,5,2410.0,11
Hyundai Xcent 1.1 CRDi S,58000,Diesel,Manual,1,24.4,1120,71.0,5,5500.0,6
Mahindra Bolero ZLX,105000,Diesel,Manual,2,15.96,2523,62.1,7,6000.0,9
Maruti Baleno Alpha 1.2,17000,Petrol,Manual,1,21.4,1197,83.1,5,6900.0,5
Hyundai Verna 1.6 VTVT,36226,Petrol,Manual,1,17.01,1591,121.3,5,2950.0,10
Skoda Octavia Elegance 2.0 TDI AT,122086,Diesel,Automatic,1,19.3,1968,141.0,5,12990.0,6
Ford EcoSport 1.5 Diesel Titanium Plus,78526,Diesel,Manual,1,23.0,1498,98.96,5,8090.0,4
Maruti Swift ZDi,98000,Diesel,Manual,1,22.9,1248,74.0,5,6100.0,7
Toyota Etios GD,70000,Diesel,Manual,1,23.59,1364,67.05,5,3880.0,8
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,3600,Diesel,Automatic,1,21.5,1498,108.5,5,12250.0,4
Jeep Compass 2.0 Limited,29000,Diesel,Manual,1,17.1,1956,170.0,5,19000.0,3
Ford EcoSport 1.5 Ti VCT AT Titanium,60924,Petrol,Automatic,1,15.63,1499,110.4,5,8300.0,5
Volkswagen Polo GT TSI,57022,Petrol,Automatic,1,17.21,1197,103.6,5,6510.0,6
BMW X5 3.0d,110000,Diesel,Automatic,1,11.0,2993,235.0,5,18000.0,12
Toyota Corolla Altis VL,70200,Petrol,Automatic,1,14.53,1798,138.1,5,5000.0,11
Maruti Ciaz 1.3 S,23988,Diesel,Manual,1,28.09,1248,88.5,5,7750.0,5
Maruti Wagon R VXI,38958,Petrol,Manual,1,22.5,998,67.04,5,3410.0,7
Honda Amaze S i-Vtech,6714,Petrol,Manual,1,18.0,1198,86.7,5,4750.0,5
Volkswagen Vento Diesel Comfortline,47910,Diesel,Manual,1,20.54,1598,103.6,5,4890.0,8
Toyota Corolla Altis 1.8 GL,53920,Petrol,Manual,1,14.28,1798,138.03,5,10770.0,6
Honda Amaze S i-VTEC,18776,Petrol,Manual,1,17.8,1198,86.7,5,4750.0,7
Honda Brio E MT,55116,Petrol,Manual,1,19.4,1198,86.8,5,3310.0,8
Hyundai Xcent 1.1 CRDi S,29000,Diesel,Manual,1,24.4,1120,71.0,5,5950.0,5
Maruti Alto 800 LXI,30000,Petrol,Manual,1,22.74,796,47.3,5,2500.0,8
Mahindra XUV500 W6 2WD,62946,Diesel,Manual,1,15.1,2179,140.0,7,11050.0,5
Chevrolet Beat LT,115000,Petrol,Manual,1,18.6,1199,79.4,5,1750.0,11
Maruti Wagon R LXI CNG,90400,CNG,Manual,1,26.2,998,58.2,5,2900.0,9
Hyundai Creta 1.6 CRDi SX Option,60083,Diesel,Manual,1,19.67,1582,126.2,5,13780.0,4
Tata Safari DICOR 2.2 LX 4x2,80000,Diesel,Manual,1,13.93,2179,138.03,7,4500.0,10
Volkswagen Polo Petrol Trendline 1.2L,76476,Petrol,Manual,1,16.47,1198,73.9,5,4400.0,8
Honda Brio S Option MT,79000,Petrol,Manual,1,18.4,1198,86.8,5,2900.0,9
Mercedes-Benz New C-Class C 220CDIBE Avantgarde Command,51355,Diesel,Automatic,1,14.84,2143,170.0,5,27000.0,7
Maruti SX4 Green Vxi (CNG),82069,CNG,Manual,1,21.4,1586,103.3,5,2650.0,9
Maruti Ciaz VDi Plus SHVS,59000,Diesel,Manual,1,28.09,1248,88.5,5,6000.0,6
Chevrolet Sail 1.2 LS,41000,Petrol,Manual,1,18.2,1199,82.4,5,3250.0,6
Toyota Corolla Altis VL,110000,Petrol,Automatic,2,14.53,1798,138.1,5,2750.0,13
Hyundai i10 Sportz 1.2,62000,Petrol,Manual,1,20.36,1197,78.9,5,2100.0,11
Maruti Baleno Delta 1.2,50003,Petrol,Manual,1,21.4,1197,83.1,5,5450.0,5
Ford Ecosport 1.5 DV5 MT Trend,65925,Diesel,Manual,2,22.7,1498,89.84,5,5490.0,6
Renault Scala RxL AT,7000,Petrol,Automatic,1,17.97,1498,99.6,5,3650.0,8
Renault KWID AMT RXL,12000,Petrol,Automatic,2,24.04,999,67.0,5,3250.0,4
Toyota Corolla H2,63000,Petrol,Manual,1,13.4,1794,125.0,5,2050.0,13
Maruti Baleno Alpha 1.2,27000,Petrol,Manual,1,21.4,1197,83.1,5,6500.0,5
Maruti Swift Dzire VDI,59572,Diesel,Manual,1,26.59,1248,74.0,5,6850.0,6
Hyundai Creta 1.6 SX Plus Petrol Automatic,23875,Petrol,Automatic,1,13.0,1591,121.3,5,14360.0,3
Renault KWID RXT,24000,Petrol,Manual,1,25.17,799,53.3,5,3100.0,5
Mercedes-Benz E-Class E250 CDI Avantgrade,59630,Diesel,Automatic,1,13.0,2143,201.1,5,23410.0,6
Audi Q5 2008-2012 2.0 TDI,13452,Diesel,Automatic,1,12.8,1968,167.6,5,25460.0,8
Porsche Panamera Diesel 250hp,60033,Diesel,Automatic,1,18.18,2967,250.0,4,51520.0,7
Hyundai Verna Transform SX VTVT,61000,Petrol,Manual,2,16.2,1599,103.2,5,3400.0,10
Toyota Fortuner 4x2 Manual,107825,Diesel,Manual,1,13.0,2982,168.5,7,20500.0,7
Maruti Ciaz VDi Plus SHVS,66000,Diesel,Manual,1,28.09,1248,88.5,5,6400.0,5
Toyota Fortuner 3.0 Diesel,193254,Diesel,Manual,1,11.5,2982,171.0,7,12990.0,11
Maruti Dzire VDI,77084,Diesel,Manual,1,28.4,1248,73.75,5,4950.0,8
Hyundai Grand i10 SportZ Edition,40322,Petrol,Manual,1,18.9,1197,81.86,5,5500.0,3
Honda Brio V MT,63107,Petrol,Manual,1,19.4,1198,86.8,5,3250.0,8
Mercedes-Benz B Class 2012-2015 B200 Sport CDI,36000,Diesel,Automatic,1,15.0,2147,107.3,5,16250.0,7
Hyundai EON Era Plus,30158,Petrol,Manual,1,21.1,814,55.2,5,3050.0,6
Maruti Ciaz Zeta,25692,Petrol,Manual,1,21.56,1462,103.25,5,9950.0,3
Mahindra Scorpio 2.6 CRDe,72000,Diesel,Manual,1,10.5,2179,120.0,8,6000.0,8
Mahindra Quanto C8,36000,Diesel,Manual,1,17.21,1493,100.0,7,3900.0,8
Ford EcoSport 1.5 TDCi Titanium,47037,Diesel,Manual,2,22.77,1498,98.59,5,7000.0,6
Mini Cooper Convertible 1.6,20000,Petrol,Automatic,1,18.86,1598,122.0,4,32000.0,6
Tata Sumo DX,20000,Diesel,Manual,1,14.07,1978,83.1,10,5250.0,8
Maruti S-Cross Zeta DDiS 200 SH,74611,Diesel,Manual,1,25.1,1248,88.5,5,7940.0,5
Volkswagen Polo Petrol Highline 1.6L,70000,Petrol,Manual,2,15.26,1598,103.5,5,3290.0,10
Maruti Wagon R LX,110000,Petrol,Manual,1,18.9,998,67.1,5,1110.0,15
Hyundai i20 1.4 CRDi Asta,60788,Diesel,Manual,1,23.0,1396,90.0,5,4500.0,9
BMW 5 Series 2003-2012 530d Highline,108640,Diesel,Automatic,1,11.5,2993,235.0,5,23290.0,8
BMW 3 Series 330 Ci Convertible,31000,Petrol,Automatic,1,10.9,2497,215.0,5,31000.0,10
Skoda Superb Elegance 1.8 TSI AT,34000,Petrol,Automatic,1,13.7,1798,157.75,5,13650.0,6
Honda City 1.5 V MT,60000,Petrol,Manual,1,17.0,1497,118.0,5,2700.0,11
Ford Ecosport 1.5 Ti VCT MT Titanium,25984,Petrol,Manual,1,15.8,1499,110.0,5,5350.0,8
Maruti Alto K10 LXI,100000,Petrol,Manual,1,20.92,998,67.1,5,1800.0,9
Honda City ZX GXi,44000,Petrol,Manual,1,17.7,1497,78.0,5,1550.0,15
Honda Brio S Option MT,39566,Petrol,Manual,2,18.4,1198,86.8,5,2750.0,9
Honda City V MT,127000,Petrol,Manual,2,16.8,1497,116.3,5,4500.0,8
